,date_pr,weekday_fa,holiday_inCal,date_gr,weekday_en,my_date
398,1397/02/03,دوشنبه,0,2018-04-23,Monday,13970203
399,1397/02/04,سه شنبه,0,2018-04-24,Tuesday,13970204
400,1397/02/05,چهارشنبه,0,2018-04-25,Wednesday,13970205
401,1397/02/06,پنجشنبه,0,2018-04-26,Thursday,13970206
402,1397/02/07,جمعه,1,2018-04-27,Friday,13970207
403,1397/02/08,شنبه,0,2018-04-28,Saturday,13970208
404,1397/02/09,یکشنبه,0,2018-04-29,Sunday,13970209
405,1397/02/10,دوشنبه,0,2018-04-30,Monday,13970210
406,1397/02/11,سه شنبه,0,2018-05-01,Tuesday,13970211
407,1397/02/12,چهارشنبه,1,2018-05-02,Wednesday,13970212
408,1397/02/13,پنجشنبه,0,2018-05-03,Thursday,13970213
409,1397/02/14,جمعه,1,2018-05-04,Friday,13970214
410,1397/02/15,شنبه,0,2018-05-05,Saturday,13970215
411,1397/02/16,یکشنبه,0,2018-05-06,Sunday,13970216
412,1397/02/17,دوشنبه,0,2018-05-07,Monday,13970217
413,1397/02/18,سه شنبه,0,2018-05-08,Tuesday,13970218
414,1397/02/19,چهارشنبه,0,2018-05-09,Wednesday,13970219
415,1397/02/20,پنجشنبه,0,2018-05-10,Thursday,13970220
416,1397/02/21,جمعه,1,2018-05-11,Friday,13970221
417,1397/02/22,شنبه,0,2018-05-12,Saturday,13970222
418,1397/02/23,یکشنبه,0,2018-05-13,Sunday,13970223
419,1397/02/24,دوشنبه,0,2018-05-14,Monday,13970224
420,1397/02/25,سه شنبه,0,2018-05-15,Tuesday,13970225
421,1397/02/26,چهارشنبه,0,2018-05-16,Wednesday,13970226
422,1397/02/27,پنجشنبه,0,2018-05-17,Thursday,13970227
423,1397/02/28,جمعه,1,2018-05-18,Friday,13970228
424,1397/02/29,شنبه,0,2018-05-19,Saturday,13970229
425,1397/02/30,یکشنبه,0,2018-05-20,Sunday,13970230
426,1397/02/31,دوشنبه,0,2018-05-21,Monday,13970231
427,1397/03/01,سه شنبه,0,2018-05-22,Tuesday,13970301
428,1397/03/02,چهارشنبه,0,2018-05-23,Wednesday,13970302
429,1397/03/03,پنجشنبه,0,2018-05-24,Thursday,13970303
430,1397/03/04,جمعه,1,2018-05-25,Friday,13970304
431,1397/03/05,شنبه,0,2018-05-26,Saturday,13970305
432,1397/03/06,یکشنبه,0,2018-05-27,Sunday,13970306
433,1397/03/07,دوشنبه,0,2018-05-28,Monday,13970307
434,1397/03/08,سه شنبه,0,2018-05-29,Tuesday,13970308
435,1397/03/09,چهارشنبه,0,2018-05-30,Wednesday,13970309
436,1397/03/10,پنجشنبه,0,2018-05-31,Thursday,13970310
437,1397/03/11,جمعه,1,2018-06-01,Friday,13970311
438,1397/03/12,شنبه,0,2018-06-02,Saturday,13970312
439,1397/03/13,یکشنبه,0,2018-06-03,Sunday,13970313
440,1397/03/14,دوشنبه,1,2018-06-04,Monday,13970314
441,1397/03/15,سه شنبه,1,2018-06-05,Tuesday,13970315
442,1397/03/16,چهارشنبه,1,2018-06-06,Wednesday,13970316
443,1397/03/17,پنجشنبه,0,2018-06-07,Thursday,13970317
444,1397/03/18,جمعه,1,2018-06-08,Friday,13970318
445,1397/03/19,شنبه,0,2018-06-09,Saturday,13970319
446,1397/03/20,یکشنبه,0,2018-06-10,Sunday,13970320
447,1397/03/21,دوشنبه,0,2018-06-11,Monday,13970321
448,1397/03/22,سه شنبه,0,2018-06-12,Tuesday,13970322
449,1397/03/23,چهارشنبه,0,2018-06-13,Wednesday,13970323
450,1397/03/24,پنجشنبه,0,2018-06-14,Thursday,13970324
451,1397/03/25,جمعه,1,2018-06-15,Friday,13970325
452,1397/03/26,شنبه,1,2018-06-16,Saturday,13970326
453,1397/03/27,یکشنبه,0,2018-06-17,Sunday,13970327
454,1397/03/28,دوشنبه,0,2018-06-18,Monday,13970328
455,1397/03/29,سه شنبه,0,2018-06-19,Tuesday,13970329
456,1397/03/30,چهارشنبه,0,2018-06-20,Wednesday,13970330
457,1397/03/31,پنجشنبه,0,2018-06-21,Thursday,13970331
458,1397/04/01,جمعه,1,2018-06-22,Friday,13970401
459,1397/04/02,شنبه,0,2018-06-23,Saturday,13970402
460,1397/04/03,یکشنبه,0,2018-06-24,Sunday,13970403
461,1397/04/04,دوشنبه,0,2018-06-25,Monday,13970404
462,1397/04/05,سه شنبه,0,2018-06-26,Tuesday,13970405
463,1397/04/06,چهارشنبه,0,2018-06-27,Wednesday,13970406
464,1397/04/07,پنجشنبه,0,2018-06-28,Thursday,13970407
465,1397/04/08,جمعه,1,2018-06-29,Friday,13970408
466,1397/04/09,شنبه,0,2018-06-30,Saturday,13970409
467,1397/04/10,یکشنبه,0,2018-07-01,Sunday,13970410
468,1397/04/11,دوشنبه,0,2018-07-02,Monday,13970411
469,1397/04/12,سه شنبه,0,2018-07-03,Tuesday,13970412
470,1397/04/13,چهارشنبه,0,2018-07-04,Wednesday,13970413
471,1397/04/14,پنجشنبه,0,2018-07-05,Thursday,13970414
472,1397/04/15,جمعه,1,2018-07-06,Friday,13970415
473,1397/04/16,شنبه,0,2018-07-07,Saturday,13970416
474,1397/04/17,یکشنبه,0,2018-07-08,Sunday,13970417
475,1397/04/18,دوشنبه,1,2018-07-09,Monday,13970418
476,1397/04/19,سه شنبه,0,2018-07-10,Tuesday,13970419
477,1397/04/20,چهارشنبه,0,2018-07-11,Wednesday,13970420
478,1397/04/21,پنجشنبه,0,2018-07-12,Thursday,13970421
479,1397/04/22,جمعه,1,2018-07-13,Friday,13970422
480,1397/04/23,شنبه,0,2018-07-14,Saturday,13970423
481,1397/04/24,یکشنبه,0,2018-07-15,Sunday,13970424
482,1397/04/25,دوشنبه,0,2018-07-16,Monday,13970425
483,1397/04/26,سه شنبه,0,2018-07-17,Tuesday,13970426
484,1397/04/27,چهارشنبه,0,2018-07-18,Wednesday,13970427
485,1397/04/28,پنجشنبه,0,2018-07-19,Thursday,13970428
486,1397/04/29,جمعه,1,2018-07-20,Friday,13970429
487,1397/04/30,شنبه,0,2018-07-21,Saturday,13970430
488,1397/04/31,یکشنبه,0,2018-07-22,Sunday,13970431
489,1397/05/01,دوشنبه,0,2018-07-23,Monday,13970501
490,1397/05/02,سه شنبه,0,2018-07-24,Tuesday,13970502
491,1397/05/03,چهارشنبه,0,2018-07-25,Wednesday,13970503
492,1397/05/04,پنجشنبه,0,2018-07-26,Thursday,13970504
493,1397/05/05,جمعه,1,2018-07-27,Friday,13970505
494,1397/05/06,شنبه,0,2018-07-28,Saturday,13970506
495,1397/05/07,یکشنبه,0,2018-07-29,Sunday,13970507
496,1397/05/08,دوشنبه,0,2018-07-30,Monday,13970508
497,1397/05/09,سه شنبه,0,2018-07-31,Tuesday,13970509
498,1397/05/10,چهارشنبه,0,2018-08-01,Wednesday,13970510
499,1397/05/11,پنجشنبه,0,2018-08-02,Thursday,13970511
500,1397/05/12,جمعه,1,2018-08-03,Friday,13970512
501,1397/05/13,شنبه,0,2018-08-04,Saturday,13970513
502,1397/05/14,یکشنبه,0,2018-08-05,Sunday,13970514
503,1397/05/15,دوشنبه,0,2018-08-06,Monday,13970515
